name,price,image,url
"


                                Lenovo Yoga C740-14IML 2-in-1 laptop - 10th Intel Core i5-10210U, 8GB RAM , 256 GB SSD,  Integrated Intel UHD Graphics, 14 Inch FHD  IPS 300nits  Multi-touch, Backlit keyboard, Windows 10 -  Aluminum Mica
                            

","
13,888.00
									EGP

14,599.00
												EGP
											

",https://cf1.s3.souqcdn.com/item/2020/11/24/13/21/16/96/5/item_L_132116965_3b188cf5cb5e8.jpg,https://egypt.souq.com/eg-en/lenovo-yoga-c740-14iml-2-in-1-laptop-10th-intel-core-i5-10210u-8gb-ram-256-gb-ssd-integrated-intel-uhd-graphics-14-inch-fhd-ips-300nits-multi-touch-backlit-keyboard-windows-10-aluminum-mica-14789200075/u/
"


                                HP 250 G7 Laptop, 10th Generation Intel Core i5-1035G1, 8 GB RAM, 1TB HDD, Intel UHD Graphics, 15.6 Inch HD anti-glare 220 nits, Dos - Dark ash silver
                            

","
9,699.00
									EGP

10,499.00
												EGP
											

",https://cf5.s3.souqcdn.com/item/2021/02/11/13/23/64/78/8/item_L_132364788_351385a6d0994.jpg,https://egypt.souq.com/eg-en/hp-250-g7-laptop-10th-generation-intel-core-i5-1035g1-8-gb-ram-1tb-hdd-intel-uhd-graphics-15-6-inch-hd-anti-glare-220-nits-dos-dark-ash-silver-14952800075/u/
"


                                Dell Latitude 3410 Laptop - Intel 10th Gen Core i5-10210U, 8GB RAM , 1TB HDD,  Integrated Intel UHD Graphics, 14 HD, Ubuntu
                            

","
10,599.00
									EGP

11,299.00
												EGP
											

",https://cf1.s3.souqcdn.com/item/2021/01/30/13/23/26/49/3/item_L_132326493_6b0cfd8ba172d.jpg,https://egypt.souq.com/eg-en/dell-latitude-3410-laptop-intel-10th-gen-core-i5-10210u-8gb-ram-1tb-hdd-integrated-intel-uhd-graphics-14-hd-ubuntu-14879600075/u/
"


                                HP 15-da3007nia Laptop - Intel 10th Gen Core  i3-1005G1, 4GB RAM , 1TB HDD, Intel UHD Graphics, 15.6-Inch HD, Dos - Jet Black
                            

","
8,399.00
									EGP

8,999.00
												EGP
											

",https://cf4.s3.souqcdn.com/item/2021/01/30/13/23/26/36/4/item_L_132326364_7c1286792c612.jpg,https://egypt.souq.com/eg-en/hp-15-da3007nia-laptop-intel-10th-gen-core-i3-1005g1-4gb-ram-1tb-hdd-intel-uhd-graphics-15-6-inch-hd-dos-jet-black-14879800075/u/
"


                                HP 255 G7 Laptop  - Ryzen 3 3250U, 4 GB RAM, 1 TB HDD, Radeon RX Vega 3 Graphics, 15.6-Inch HD, DOS - Silver
                            

","
6,699.00
									EGP

7,499.00
												EGP
											

",https://cf3.s3.souqcdn.com/item/2021/01/30/13/23/26/33/9/item_L_132326339_c51fc6079b875.jpg,https://egypt.souq.com/eg-en/hp-255-g7-laptop-ryzen-3-3250u-4-gb-ram-1-tb-hdd-radeon-rx-vega-3-graphics-15-6-inch-hd-dos-silver-14879400075/u/
"


                                Acer Aspire 3 A315-57G-55L4 Laptop, 15.6 Inch FHD, Intel Core i5-1035G1, 1 TB HDD, 8 GB RAM, 2GB NVIDIA GeForce MX330, Windows - Black
                            

","
9,999.00
									EGP

10,999.00
												EGP
											

",https://cf5.s3.souqcdn.com/item/2021/02/10/13/23/68/07/0/item_L_132368070_e3008b683bf40.jpg,https://egypt.souq.com/eg-en/acer-aspire-3-a315-57g-55l4-laptop-15-6-inch-fhd-intel-core-i5-1035g1-1-tb-hdd-8-gb-ram-2gb-nvidia-geforce-mx330-windows-black-14957400075/u/
"


                                Lenovo V14-IIL 82C401EBED laptop - intel 10th Gen core i3-1005G1, 4 GB RAM, 1 TB HDD , Intel UHD Graphics , 14 inch FHD  -  Iron Grey (( Topload Carry Case inside ))
                            

","
6,899.00
									EGP

7,699.00
												EGP
											

",https://cf5.s3.souqcdn.com/item/2021/01/10/13/22/58/89/0/item_L_132258890_3e1500be01abb.jpg,https://egypt.souq.com/eg-en/lenovo-v14-iil-82c401ebed-laptop-intel-10th-gen-core-i3-1005g1-4-gb-ram-1-tb-hdd-intel-uhd-graphics-14-inch-fhd-iron-grey-topload-carry-case-inside-14845300075/u/
"


                                Dell Inspiron 5406 2-in-1 Laptop - 11th Generation Intel Core i3-1115G4, 4 GB RAM, 128GB PCIe NVMe M.2 SSD, Intel UHD Graphics, 14.0-inch HD (1366x768) LED-Backlit Touch Narrow Border Display, Backlit Keyboard, Fingerprint Reader, Windows 10 - Dark Grey
                            

","
9,499.00
									EGP

10,299.00
												EGP
											

",https://cf4.s3.souqcdn.com/item/2021/02/19/13/24/00/67/4/item_L_132400674_c08868b902d39.jpg,https://egypt.souq.com/eg-en/dell-inspiron-5406-2-in-1-laptop-11th-generation-intel-core-i3-1115g4-4-gb-ram-128gb-pcie-nvme-m-2-ssd-intel-uhd-graphics-14-0-inch-hd-1366x768-led-backlit-touch-narrow-border-display-backlit-keyboard-fingerprint-reader-windows-10-dark-grey-14963300075/u/
"


                                HP 15-da3001TU Laptop - Intel 10th Gen Core  i3-1005G1, 4GB RAM , 1TB HDD, Intel UHD Graphics, 15.6-Inch FHD, Windows 10 and Microsoft Office - Jet Black
                            

","
7,399.00
									EGP

9,503.00
												EGP
											

",https://cf1.s3.souqcdn.com/item/2020/12/29/13/22/20/44/8/item_L_132220448_861872d7a174b.jpg,https://egypt.souq.com/eg-en/hp-15-da3001tu-laptop-intel-10th-gen-core-i3-1005g1-4gb-ram-1tb-hdd-intel-uhd-graphics-15-6-inch-fhd-windows-10-and-microsoft-office-jet-black-14843900075/u/
"


                                Dell Latitude 3400 Laptop - Intel Core i7-8565U, 1 TB, 8 GB RAM, 14 Inch, NVIDIA GeForce MX130 2GB GDDR5, Ubuntu - Black
                            

","
13,999.00
									EGP

14,999.00
												EGP
											

",https://cf3.s3.souqcdn.com/item/2020/09/17/13/18/03/41/8/item_L_131803418_a44a48ac5152b.jpg,https://egypt.souq.com/eg-en/dell-latitude-3400-laptop-intel-core-i7-8565u-1-tb-8-gb-ram-14-inch-nvidia-geforce-mx130-2gb-gddr5-ubuntu-black-14691700075/u/
